pipeline_depth,parallel_units,intermediate_buffer_kb,tile_npw,tile_nkb,tile_m,dma_channels,pcie_gen,offload_strategy,dataflow_pattern,psi_strategy,beta_strategy,h_psi_impl,gemm_impl,overlap_policy,trial_index,avg_time_s,avg_energy_j,max_time_s,max_energy_j,std_time_s,std_energy_j,avg_dsp_utilization,avg_bram_utilization
2,1,512,512,144,16,1,3,full_operator_sweep,streaming,tile,resident,systolic,winograd,compute_dma,29,0.00022857334618506497,0.007771493770292208,0.0005895063920454545,0.020043217329545455,0.0001887702802612528,0.006418189528882595,0.011393229166666666,0.018823529411764704
2,8,512,1024,32,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,30,2.454519686612216e-05,0.0016936185837624288,5.933266379616477e-05,0.004093953801935369,1.8505402880892032e-05,0.00127687279878155,0.068359375,0.016941176470588234
2,8,256,2048,144,4,4,3,include_diag,hybrid,stream,cache,mixed,dsp_array,compute_dma,31,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.011294117647058824
2,8,1024,1024,32,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,32,2.454519686612216e-05,0.0016936185837624288,5.933266379616477e-05,0.004093953801935369,1.8505402880892032e-05,0.00127687279878155,0.068359375,0.032
2,8,1024,1024,64,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,33,2.454519686612216e-05,0.0016936185837624288,5.933266379616477e-05,0.004093953801935369,1.8505402880892032e-05,0.00127687279878155,0.068359375,0.032
2,8,128,2048,64,4,4,3,include_diag,hybrid,stream,cache,mixed,dsp_array,compute_dma,34,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.007529411764705883
3,4,64,1024,16,16,4,5,h_psi_only,streaming,stream,cache,mixed,winograd,none,35,4.400259382161955e-05,0.0022441322849025974,0.00010636668019480519,0.005424700689935065,3.3174951943335856e-05,0.001691922549110129,0.037434895833333336,0.009411764705882352
2,8,128,2048,16,8,1,4,full_operator_sweep,hybrid,tile,stream,mixed,systolic,full_pipeline,36,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.011294117647058824
2,8,128,2048,32,8,1,4,full_operator_sweep,hybrid,tile,stream,mixed,systolic,full_pipeline,37,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.011294117647058824
3,4,64,2048,16,32,2,5,include_diag,buffered,tile,cache,fft_dsp,winograd,none,38,4.302419971113445e-05,0.0021942341852678572,9.921595982142857e-05,0.005060013950892857,3.036920048496505e-05,0.0015488292247332173,0.037434895833333336,0.032
