parameters,result
"{'pipeline_depth': 2, 'parallel_units': 8, 'intermediate_buffer_kb': 128, 'tile_npw': 2048, 'tile_nkb': 64, 'tile_m': 16, 'dma_channels': 2, 'pcie_gen': 3, 'offload_strategy': 'h_psi_only', 'dataflow_pattern': 'buffered', 'psi_strategy': 'resident', 'beta_strategy': 'cache', 'h_psi_impl': 'systolic', 'gemm_impl': 'systolic', 'overlap_policy': 'none'}","{'time_s': 2.149638410295759e-05, 'energy_j': 0.0014832505031040736, 'area': {'dsp_count': 840, 'dsp_utilization': 0.068359375, 'bram_kb': 640.0, 'bram_utilization': 0.018823529411764704, 'lut_count': 48400.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 2, 'intermediate_buffer_kb': 128, 'tile_npw': 256, 'tile_nkb': 64, 'tile_m': 16, 'dma_channels': 1, 'pcie_gen': 5, 'offload_strategy': 'full_operator_sweep', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'stream', 'h_psi_impl': 'mixed', 'gemm_impl': 'dsp_array', 'overlap_policy': 'full_pipeline'}","{'time_s': 0.00012250091441761365, 'energy_j': 0.004777535662286932, 'area': {'dsp_count': 240, 'dsp_utilization': 0.01953125, 'bram_kb': 192.0, 'bram_utilization': 0.005647058823529412, 'lut_count': 13920.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 1, 'intermediate_buffer_kb': 128, 'tile_npw': 1024, 'tile_nkb': 144, 'tile_m': 16, 'dma_channels': 1, 'pcie_gen': 4, 'offload_strategy': 'h_psi_only', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'resident', 'h_psi_impl': 'mixed', 'gemm_impl': 'systolic', 'overlap_policy': 'full_pipeline'}","{'time_s': 0.0001653683447526738, 'energy_j': 0.005953260411096257, 'area': {'dsp_count': 160, 'dsp_utilization': 0.013020833333333334, 'bram_kb': 384.0, 'bram_utilization': 0.011294117647058824, 'lut_count': 11840.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 1, 'intermediate_buffer_kb': 128, 'tile_npw': 256, 'tile_nkb': 32, 'tile_m': 32, 'dma_channels': 2, 'pcie_gen': 5, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'buffered', 'psi_strategy': 'tile', 'beta_strategy': 'stream', 'h_psi_impl': 'mixed', 'gemm_impl': 'winograd', 'overlap_policy': 'none'}","{'time_s': 0.0002566685825892858, 'energy_j': 0.008726731808035716, 'area': {'dsp_count': 140, 'dsp_utilization': 0.011393229166666666, 'bram_kb': 256.0, 'bram_utilization': 0.0075294117647058826, 'lut_count': 9560.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 4, 'intermediate_buffer_kb': 1024, 'tile_npw': 2048, 'tile_nkb': 16, 'tile_m': 16, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'streaming', 'psi_strategy': 'stream', 'beta_strategy': 'cache', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'winograd', 'overlap_policy': 'compute_dma'}","{'time_s': 3.908433473265016e-05, 'energy_j': 0.001915132401899858, 'area': {'dsp_count': 440, 'dsp_utilization': 0.035807291666666664, 'bram_kb': 1536.0, 'bram_utilization': 0.0451764705882353, 'lut_count': 37360.0}, 'feasible': True}"
"{'pipeline_depth': 4, 'parallel_units': 4, 'intermediate_buffer_kb': 128, 'tile_npw': 256, 'tile_nkb': 144, 'tile_m': 8, 'dma_channels': 1, 'pcie_gen': 3, 'offload_strategy': 'full_operator_sweep', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'resident', 'h_psi_impl': 'systolic', 'gemm_impl': 'dsp_array', 'overlap_policy': 'full_pipeline'}","{'time_s': 5.444485085227275e-05, 'energy_j': 0.0028855770951704556, 'area': {'dsp_count': 480, 'dsp_utilization': 0.0390625, 'bram_kb': 160.0, 'bram_utilization': 0.004705882352941176, 'lut_count': 25600.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 2, 'intermediate_buffer_kb': 64, 'tile_npw': 1024, 'tile_nkb': 64, 'tile_m': 16, 'dma_channels': 4, 'pcie_gen': 4, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'stream', 'h_psi_impl': 'mixed', 'gemm_impl': 'systolic', 'overlap_policy': 'none'}","{'time_s': 8.785193314985796e-05, 'energy_j': 0.0034262253928444603, 'area': {'dsp_count': 240, 'dsp_utilization': 0.01953125, 'bram_kb': 320.0, 'bram_utilization': 0.009411764705882352, 'lut_count': 15200.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 4, 'intermediate_buffer_kb': 256, 'tile_npw': 256, 'tile_nkb': 64, 'tile_m': 4, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'buffered', 'psi_strategy': 'tile', 'beta_strategy': 'stream', 'h_psi_impl': 'fft_bram', 'gemm_impl': 'systolic', 'overlap_policy': 'full_pipeline'}","{'time_s': 6.416714564732144e-05, 'energy_j': 0.0031441901367187507, 'area': {'dsp_count': 440, 'dsp_utilization': 0.035807291666666664, 'bram_kb': 272.0, 'bram_utilization': 0.008, 'lut_count': 24720.0}, 'feasible': True}"
"{'pipeline_depth': 4, 'parallel_units': 1, 'intermediate_buffer_kb': 256, 'tile_npw': 2048, 'tile_nkb': 16, 'tile_m': 32, 'dma_channels': 1, 'pcie_gen': 4, 'offload_strategy': 'full_operator_sweep', 'dataflow_pattern': 'streaming', 'psi_strategy': 'stream', 'beta_strategy': 'stream', 'h_psi_impl': 'mixed', 'gemm_impl': 'dsp_array', 'overlap_policy': 'compute_dma'}","{'time_s': 0.00013896652349386726, 'energy_j': 0.005280727892766956, 'area': {'dsp_count': 180, 'dsp_utilization': 0.0146484375, 'bram_kb': 1280.0, 'bram_utilization': 0.03764705882352941, 'lut_count': 21800.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 1, 'intermediate_buffer_kb': 64, 'tile_npw': 256, 'tile_nkb': 16, 'tile_m': 16, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'streaming', 'psi_strategy': 'resident', 'beta_strategy': 'stream', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'winograd', 'overlap_policy': 'compute_dma'}","{'time_s': 0.00023333507508116886, 'energy_j': 0.007933392552759742, 'area': {'dsp_count': 140, 'dsp_utilization': 0.011393229166666666, 'bram_kb': 128.0, 'bram_utilization': 0.0037647058823529413, 'lut_count': 8280.0}, 'feasible': True}"
